LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.65, 23.55,   5.2000,   6.1375,   6.5179,   6.4732,   6.9286,   6.0638,   6.5966,   6.4276,   6.5138,   6.1519,   6.6463,   6.6315,   7.0556,   6.0638,   6.4466,   6.7862,   7.3000,   6.1064,   6.4659,   6.1111,   6.6106,   6.1326,   6.7780,   6.1000,   7.2581,
119.65, 23.60,   5.2500,   6.0679,   6.4500,   6.4857,   6.8625,   6.0017,   6.5707,   6.3517,   6.5017,   6.0870,   6.5981,   6.5593,   7.0185,   6.0017,   6.4241,   6.7345,   7.2741,   6.0414,   6.4155,   6.0460,   6.5657,   6.0697,   6.7250,   6.0355,   7.2387,
119.65, 23.65,   5.4000,   5.9929,   6.4339,   6.4661,   6.8446,   5.9241,   6.5483,   6.2776,   6.4621,   6.0278,   6.5315,   6.5407,   6.9296,   5.9241,   6.3776,   6.7310,   7.2172,   5.9736,   6.3632,   5.9793,   6.5131,   6.0106,   6.6894,   6.0177,   7.1855,
119.65, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.55,   5.4500,   6.1589,   6.5125,   6.4661,   6.9554,   6.0828,   6.6155,   6.4034,   6.5276,   6.1796,   6.6426,   6.6000,   7.0519,   6.0828,   6.4638,   6.7638,   7.2724,   6.1305,   6.4636,   6.1328,   6.5899,   6.1561,   6.7742,   6.1226,   7.3048,
119.70, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.65, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.75, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.00, 23.45,   5.8500,   7.1732,   7.3357,   7.4875,   7.8946,   7.0845,   7.4293,   7.3552,   7.4103,   7.2056,   7.5500,   7.4019,   7.7889,   7.0845,   7.1552,   7.7276,   8.2310,   7.1300,   7.3309,   7.1404,   7.4359,   7.1545,   7.5833,   7.1016,   8.1290,
120.00, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.05, 23.05,   7.5500,   7.9643,   8.0268,   8.2054,   8.6411,   7.8483,   8.0190,   8.0466,   8.0983,   8.0000,   8.2037,   7.9537,   8.5167,   7.8483,   7.8724,   8.3603,   8.9552,   7.9041,   7.9823,   7.9273,   8.1187,   7.9189,   8.1303,   7.8806,   8.6903,
120.05, 23.10,   7.7500,   8.2286,   8.2464,   8.4964,   8.9964,   8.1121,   8.3655,   8.4121,   8.4224,   8.2833,   8.4667,   8.2981,   8.8389,   8.1121,   8.1362,   8.6966,   9.2759,   8.1736,   8.2759,   8.2040,   8.4268,   8.1894,   8.4864,   8.1806,   9.0484,
120.05, 23.15,   7.6000,   8.2607,   8.2768,   8.4857,   9.0214,   8.1362,   8.3603,   8.4224,   8.3534,   8.3167,   8.4870,   8.3667,   8.8796,   8.1362,   8.1845,   8.7310,   9.2672,   8.2005,   8.2964,   8.2384,   8.4737,   8.2333,   8.5682,   8.2726,   9.1161,
120.05, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.05, 23.50,   5.7000,   7.1857,   7.3786,   7.5143,   7.9054,   7.0983,   7.4431,   7.3431,   7.4207,   7.2148,   7.5648,   7.4093,   7.8259,   7.0983,   7.2052,   7.7414,   8.2414,   7.1418,   7.3718,   7.1510,   7.4646,   7.1636,   7.5962,   7.1097,   8.1161,
120.10, 23.00, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.10, 23.05,   7.5500,   8.1982,   8.2768,   8.4214,   8.9429,   8.0879,   8.3328,   8.3845,   8.3328,   8.2259,   8.5000,   8.3148,   8.8611,   8.0879,   8.1103,   8.6741,   9.2810,   8.1386,   8.2550,   8.1677,   8.4157,   8.1515,   8.4432,   8.1097,   8.9968,
120.10, 23.10,   7.5000,   8.1518,   8.1482,   8.3732,   8.9304,   8.0379,   8.2448,   8.2983,   8.2793,   8.1907,   8.3704,   8.2185,   8.7407,   8.0379,   8.0293,   8.5759,   9.1810,   8.0936,   8.1591,   8.1222,   8.3500,   8.1083,   8.3470,   8.0823,   8.9484,
120.10, 23.15,   7.4000,   8.7661,   8.8625,   9.0036,   9.6393,   8.6379,   8.9724,   8.9776,   8.9948,   8.8130,   9.1148,   8.9204,   9.3704,   8.6379,   8.6810,   9.3845,   9.8845,   8.7045,   8.8836,   8.7404,   9.0677,   8.7326,   9.1000,   8.7403,   9.7016,
