LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.60, 23.80, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.65, 23.25, 154.9015, 130.2421, 140.1550, 153.5347, 155.8463, 130.9612, 149.8990, 153.9364, 157.3292, 131.0102, 147.4218, 149.3619, 172.2305, 130.9612, 147.6781, 154.5332, 197.7271, 130.9039, 145.9605, 131.1581, 148.9559, 131.7872, 153.3977, 133.9408, 176.1700,
119.65, 23.55, 137.1792, 107.7064, 116.8045, 127.0890, 126.1460, 108.6155, 125.7195, 122.4566, 128.5818, 108.1125, 119.7697, 117.5492, 142.5962, 108.6155, 121.3102, 125.5200, 160.0020, 108.3476, 118.8742, 108.5762, 121.5481, 109.0911, 125.8748, 111.0792, 144.7830,
119.65, 23.60, 135.7117, 106.3873, 115.9873, 126.2707, 124.7901, 107.2982, 124.8594, 121.3532, 126.3965, 106.7780, 117.8261, 116.0886, 141.3062, 107.2982, 120.5858, 123.4225, 158.4830, 107.0256, 117.9461, 107.2410, 120.2221, 107.7109, 124.8919, 109.6452, 144.0930,
119.65, 23.65, 133.1052, 104.3932, 114.4171, 123.6214, 121.9592, 105.2603, 123.3624, 118.2080, 124.7280, 104.7774, 116.1730, 114.8010, 139.1442, 105.2603, 118.7769, 121.2743, 154.7708, 105.0094, 115.5567, 105.1828, 118.1700, 105.6147, 123.0952, 107.3255, 140.8301,
119.65, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.55, 133.6888, 105.9166, 113.5520, 124.8557, 123.2759, 106.7407, 122.7592, 120.0161, 125.6122, 106.3151, 116.4552, 115.3103, 139.6299, 106.7407, 117.7580, 122.6743, 156.4118, 106.5171, 116.2706, 106.6809, 118.5638, 107.1117, 123.5441, 108.8390, 143.1320,
119.70, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.65, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.75, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.00, 23.45, 147.1014, 128.9070, 134.9437, 143.2336, 144.8219, 129.7288, 143.0576, 144.0269, 147.2512, 129.6508, 139.3836, 137.5287, 162.9723, 129.7288, 141.1192, 146.3740, 181.3280, 129.6705, 138.5530, 129.6566, 140.8366, 130.0609, 146.5748, 131.2441, 168.6934,
120.00, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.05, 23.05, 151.7014, 149.4982, 154.2783, 157.9644, 165.4267, 150.7859, 162.7781, 164.2152, 170.4268, 150.3578, 165.5826, 155.5445, 184.5409, 150.7859, 158.8359, 167.2610, 206.6909, 150.4918, 159.9018, 150.9814, 159.6960, 151.7162, 165.2772, 155.0474, 196.8728,
120.05, 23.10, 160.5833, 154.5527, 159.7903, 165.2579, 171.7489, 155.7487, 167.5086, 171.1260, 177.2419, 155.3383, 171.2975, 163.0307, 192.0341, 155.7487, 164.2892, 173.6966, 214.8696, 155.5436, 165.9581, 155.9545, 165.6396, 156.6324, 170.9460, 159.8936, 203.4651,
120.05, 23.15, 161.5848, 155.4748, 160.2862, 166.6361, 172.6796, 156.6534, 169.0503, 171.9228, 177.1904, 156.2731, 171.3764, 164.4795, 193.5084, 156.6534, 165.6505, 174.0609, 214.4632, 156.4487, 166.6943, 156.8146, 167.0849, 157.4380, 171.9096, 160.3545, 204.6295,
120.05, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.05, 23.50, 152.7158, 134.8059, 141.1978, 149.7454, 151.3564, 135.7029, 148.3884, 151.1009, 153.8567, 135.5603, 144.8150, 145.1628, 169.9063, 135.7029, 148.0535, 153.2507, 190.0859, 135.6211, 144.4847, 135.5403, 147.3294, 135.9692, 153.8405, 137.0428, 176.8727,
120.10, 23.00, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.10, 23.05, 164.0755, 167.5965, 170.3877, 176.2836, 183.2991, 168.9766, 181.5107, 183.1466, 190.5708, 168.5000, 182.7216, 174.1561, 205.5934, 168.9766, 176.5961, 187.6984, 231.1433, 168.7034, 178.4705, 169.2122, 178.3069, 170.0762, 184.2500, 173.7026, 219.2419,
120.10, 23.10, 164.0134, 161.2027, 163.7275, 172.6835, 178.6263, 162.5190, 177.2030, 176.7290, 184.6836, 162.0474, 179.3568, 168.1043, 199.6120, 162.5190, 171.8140, 181.8723, 223.9942, 162.2337, 173.5885, 162.6525, 172.7741, 163.5178, 177.9922, 166.7070, 212.8228,
120.10, 23.15, 162.4066, 158.6318, 164.4881, 171.5858, 177.5737, 160.0101, 176.1538, 174.8637, 183.5655, 159.4036, 176.2661, 168.3828, 198.5823, 160.0101, 171.3075, 180.6572, 222.7891, 159.6862, 171.4321, 160.0997, 171.9185, 160.8922, 176.7144, 163.9998, 210.8730,
120.10, 23.20, 171.3221, 164.1809, 166.4448, 178.1234, 181.3248, 165.4965, 177.5050, 178.6801, 185.0932, 164.9167, 176.5658, 172.3279, 202.9113, 165.4965, 173.6376, 182.4788, 226.3895, 165.1790, 173.3068, 165.5215, 175.8454, 166.2307, 182.2057, 169.0806, 213.2265,
120.10, 23.25, 167.5961, 158.2030, 159.3809, 170.7822, 174.4481, 159.1073, 170.2387, 170.8974, 177.2659, 158.9140, 168.8739, 165.6226, 196.1425, 159.1073, 167.2315, 174.7532, 216.9676, 158.9708, 166.6632, 159.2858, 168.3469, 159.7462, 175.0211, 162.2264, 204.4519,
120.10, 23.30, 161.8927, 150.3453, 151.8575, 163.2349, 165.0874, 151.2208, 161.8164, 162.5685, 167.9710, 151.0736, 159.1064, 157.8630, 186.2602, 151.2208, 158.7562, 166.8169, 206.3647, 151.1300, 158.2420, 151.3266, 160.7143, 151.7916, 166.2250, 153.8562, 194.0607,
120.10, 23.35, 160.5993, 144.8165, 147.4459, 157.9383, 159.1579, 145.6587, 157.3507, 157.4296, 162.6383, 145.5091, 153.0780, 152.8055, 180.4096, 145.6587, 153.8819, 162.0200, 200.0451, 145.5556, 152.8961, 145.7178, 155.8768, 146.1356, 160.7526, 147.8506, 187.3995,
120.10, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.10, 23.55, 158.8799, 139.0173, 144.0501, 151.7795, 153.4100, 139.8782, 151.7514, 152.1740, 155.6884, 139.7038, 147.5385, 146.8357, 171.9317, 139.8782, 149.1243, 155.7867, 193.9779, 139.7969, 147.3013, 139.6832, 149.4535, 140.0735, 156.0668, 140.9999, 179.7935,
120.10, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.10, 23.65, 147.0171, 130.0616, 135.3927, 142.9742, 142.3808, 131.0050, 143.5930, 141.5382, 145.5247, 130.6317, 139.0197, 135.6284, 162.5634, 131.0050, 139.0697, 144.1419, 181.6373, 130.7953, 138.2760, 130.7194, 139.0190, 131.1667, 145.0675, 132.0078, 167.6487,
120.15, 22.90, 182.8242, 178.1485, 179.5277, 189.4761, 194.4615, 179.7947, 190.5664, 193.8346, 200.3025, 178.8907, 189.5246, 187.8406, 218.5004, 179.7947, 188.1637, 198.8534, 245.6242, 179.3560, 188.3528, 179.9844, 189.9212, 180.8620, 197.8887, 184.8806, 235.0983,
120.15, 22.95, 183.9828, 182.2599, 183.4280, 192.6595, 197.7785, 184.0202, 194.8791, 199.7457, 205.4900, 183.0495, 195.4135, 191.2505, 222.1360, 184.0202, 190.9147, 202.9157, 251.8902, 183.5357, 192.2210, 184.1317, 193.3362, 185.0390, 200.2523, 188.9519, 238.8148,
120.15, 23.00, 179.0614, 183.8242, 185.1059, 193.8790, 198.0880, 185.5512, 196.5263, 200.6464, 205.7423, 184.7084, 196.0397, 191.6328, 224.0704, 185.5512, 192.7423, 202.8277, 252.9032, 185.1223, 193.8549, 185.6822, 194.1575, 186.6172, 201.4233, 190.6253, 240.3583,
120.15, 23.05, 168.8450, 181.0530, 183.6903, 190.3638, 195.8239, 182.6600, 195.2884, 197.4757, 202.3859, 181.9429, 196.3437, 188.6111, 220.8754, 182.6600, 191.0052, 201.9182, 247.7634, 182.3056, 192.5934, 182.7991, 191.8721, 183.6929, 198.7320, 187.4567, 236.9086,
120.15, 23.10, 171.8789, 171.9758, 177.1907, 181.1271, 189.3608, 173.4824, 189.8645, 188.6376, 195.5685, 172.8118, 190.0700, 180.1923, 211.6490, 173.4824, 184.4239, 193.7581, 238.7402, 173.1395, 185.4231, 173.6287, 184.8372, 174.5628, 190.6152, 178.2754, 227.2549,
120.15, 23.15, 172.6805, 164.3901, 170.5406, 176.2644, 184.7702, 165.8483, 183.0297, 182.0327, 188.1611, 165.1907, 184.4234, 174.4722, 203.8503, 165.8483, 177.7805, 187.9930, 230.7386, 165.4834, 178.0015, 166.0142, 178.5475, 166.8215, 183.6353, 170.4212, 218.8417,
120.15, 23.20, 173.6379, 166.2324, 170.6669, 178.7621, 185.0417, 167.5054, 181.8347, 181.0155, 186.9297, 166.9779, 180.1211, 174.6836, 204.9718, 167.5054, 176.9291, 185.9529, 230.7830, 167.2010, 177.2019, 167.6257, 178.1009, 168.3118, 183.7221, 171.5359, 218.1176,
120.15, 23.25, 176.7822, 166.0171, 169.0452, 180.1652, 182.6425, 167.0224, 179.9639, 180.6342, 186.2363, 166.8506, 179.8063, 174.1578, 206.2785, 167.0224, 175.3755, 184.4271, 228.1359, 166.8795, 176.3250, 167.2207, 177.2425, 167.8297, 183.5759, 170.6121, 216.1151,
120.15, 23.30, 164.9960, 154.9450, 155.8620, 168.4561, 169.0001, 155.9153, 166.1507, 167.5757, 172.2941, 155.6763, 162.5607, 162.5028, 191.1388, 155.9153, 162.6948, 172.5476, 212.9638, 155.7747, 162.5775, 155.9572, 164.9899, 156.5010, 170.8604, 158.6011, 199.9349,
120.15, 23.35, 166.8912, 152.1228, 155.3084, 165.9007, 167.6353, 153.0074, 166.4470, 164.0766, 170.0785, 152.8451, 161.1920, 159.9213, 189.3118, 153.0074, 162.7666, 170.0924, 211.7014, 152.9021, 161.5046, 153.0696, 162.6937, 153.5815, 169.2822, 155.5012, 196.6339,
120.15, 23.40, 167.3857, 147.9749, 154.8773, 163.5587, 164.7670, 148.8559, 165.9900, 160.3014, 167.5369, 148.6555, 158.0948, 158.6401, 187.0598, 148.8559, 160.4712, 167.6648, 209.5216, 148.7343, 159.2802, 148.8622, 160.6065, 149.3414, 166.7615, 151.0384, 191.6312,
120.15, 23.45, 169.7463, 146.2535, 153.4055, 162.3803, 164.0110, 147.2501, 164.2499, 160.1668, 167.4110, 146.8509, 156.3099, 156.4351, 185.3598, 147.2501, 158.3449, 167.1372, 207.8199, 147.0688, 157.4492, 147.0878, 159.0607, 147.5504, 166.5075, 148.8094, 191.3686,
120.15, 23.50, 182.3152, 150.1442, 156.4490, 165.0176, 166.4904, 151.2156, 166.7829, 166.3990, 170.6062, 150.7807, 160.0522, 159.5216, 187.9551, 151.2156, 161.7581, 168.1405, 211.8275, 151.0090, 160.9425, 150.9431, 162.5768, 151.4531, 170.0584, 152.6147, 195.2098,
120.15, 23.55, 169.2276, 142.5426, 146.8115, 155.9320, 156.9345, 143.6208, 155.2788, 155.3654, 159.9639, 143.1264, 151.2289, 149.4271, 175.8802, 143.6208, 151.6765, 158.3703, 198.5505, 143.3905, 151.2227, 143.2972, 152.3916, 143.7045, 159.6688, 144.6781, 182.8651,
120.15, 23.60, 154.9187, 138.1516, 141.4409, 149.8123, 149.6230, 139.1897, 147.9091, 149.3280, 152.8667, 138.7259, 144.3258, 143.2364, 168.5193, 139.1897, 145.7159, 151.7293, 189.7210, 138.9578, 144.5007, 138.8937, 146.1454, 139.3483, 151.9774, 140.3962, 175.3008,
120.15, 23.65, 152.2337, 136.1206, 138.4585, 148.8755, 147.8920, 137.1068, 147.0381, 147.4235, 151.0167, 136.6631, 142.8037, 140.5224, 166.6649, 137.1068, 143.6005, 149.4010, 186.5399, 136.9058, 142.4201, 136.8108, 144.0506, 137.2981, 150.0122, 138.3540, 173.5354,
120.15, 23.70, 159.0972, 136.7055, 143.0192, 150.8347, 150.8814, 137.7388, 153.7642, 148.4179, 153.2645, 137.1906, 147.4501, 144.1248, 171.5499, 137.7388, 146.5706, 151.8611, 191.5316, 137.4759, 146.3219, 137.3795, 147.0570, 137.8648, 152.8778, 138.8632, 178.7838,
120.15, 23.75, 155.5938, 131.7887, 137.6628, 145.6994, 145.0037, 132.7417, 146.5479, 143.7447, 147.9890, 132.2270, 141.8307, 137.9074, 165.7003, 132.7417, 141.2375, 147.4639, 184.4194, 132.4924, 140.4296, 132.4363, 141.9162, 132.9647, 147.2764, 133.9938, 172.9090,
120.15, 23.80, 149.9186, 125.8281, 133.2511, 141.0366, 140.7343, 126.6231, 141.3559, 139.6311, 142.9012, 126.2745, 135.8177, 132.7229, 160.3680, 126.6231, 136.3759, 142.2344, 177.9344, 126.4812, 134.9773, 126.4176, 137.0227, 126.8843, 142.1793, 127.8886, 165.5078,
120.20, 22.80, 197.0965, 185.9989, 187.7402, 201.5370, 205.6929, 188.0282, 200.4607, 205.0842, 211.0609, 186.5681, 200.1250, 199.4239, 232.0022, 188.0282, 197.3750, 210.6975, 257.2995, 187.3837, 197.7168, 188.2075, 201.0836, 189.1112, 209.3703, 193.9465, 248.7927,
120.20, 22.85, 199.0056, 189.4965, 192.0332, 203.5341, 207.6933, 191.4407, 202.7182, 207.0667, 213.6065, 190.1427, 202.5040, 202.6706, 235.0106, 191.4407, 201.4791, 213.0312, 261.9258, 190.8369, 200.7757, 191.5737, 203.2892, 192.4408, 212.5763, 196.8067, 251.7012,
120.20, 22.90, 190.9749, 187.4209, 189.9889, 199.5186, 204.3055, 189.2363, 200.6526, 205.2456, 209.0917, 188.1128, 200.4602, 199.0291, 230.5250, 189.2363, 198.3315, 208.0097, 258.4082, 188.7198, 198.2209, 189.3636, 200.1369, 190.2628, 209.2723, 194.4511, 248.8666,
