LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.60, 23.80, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.65, 23.25,1034.7323, 991.2296,1025.5256,1068.9292,1130.9126, 996.7795,1045.9312,1098.8679,1121.9542, 991.3175,1050.4310,1019.2709,1160.6458, 996.7795,1028.5006,1103.6561,1328.7612, 994.4286,1028.7433, 994.8923,1043.9447, 993.9569,1092.8292, 991.0375,1256.4242,
119.65, 23.55, 800.5233, 733.6372, 765.3582, 804.1691, 851.6981, 738.6635, 786.3732, 821.9015, 839.8579, 734.7921, 787.5266, 759.2214, 875.3778, 738.6635, 766.4966, 824.6454,1000.4105, 736.7183, 767.5631, 737.1811, 779.6124, 737.4567, 822.6374, 736.1771, 951.3554,
119.65, 23.60, 787.0096, 723.7834, 755.4338, 795.6886, 842.1898, 728.5287, 777.4481, 812.1756, 828.8292, 725.1516, 776.0220, 749.6769, 863.4573, 728.5287, 757.5634, 813.6032, 987.6593, 726.7493, 757.9578, 727.1691, 770.0862, 727.5286, 812.4322, 726.3683, 941.3604,
119.65, 23.65, 763.1289, 706.4016, 737.9288, 777.1331, 823.4503, 710.9265, 760.2848, 793.3088, 810.9290, 707.8222, 758.8538, 733.0173, 844.9377, 710.9265, 740.8129, 795.0852, 964.4991, 709.2473, 740.3264, 709.7231, 752.5642, 710.1625, 794.5124, 709.3965, 919.9300,
119.65, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.55, 784.0157, 724.9804, 755.8786, 794.6964, 842.4450, 729.7531, 777.5280, 812.8406, 829.7025, 726.1929, 777.0231, 750.6900, 865.0583, 729.7531, 756.3172, 815.9611, 992.5085, 727.9460, 758.2800, 728.3981, 770.0211, 728.5594, 813.5946, 727.2687, 943.0505,
119.70, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.65, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.75, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.00, 23.45, 958.6751, 915.8254, 947.5970, 983.4398,1045.7444, 921.5247, 968.6495,1013.9228,1032.2336, 916.7163, 968.8394, 938.6673,1082.1659, 921.5247, 944.3239,1019.4085,1249.7699, 919.5101, 948.6999, 919.8856, 959.6381, 919.7977,1016.2216, 917.7738,1175.2195,
120.00, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.05, 23.05,1189.0377,1134.4524,1167.8645,1194.8740,1283.8278,1141.8690,1195.5786,1244.1011,1273.8884,1134.5017,1195.4531,1152.4354,1345.2671,1141.8690,1164.8622,1257.7567,1550.7344,1138.8772,1170.0009,1139.8296,1181.3727,1139.0620,1252.6620,1136.4469,1463.1749,
120.05, 23.10,1275.3030,1196.9266,1228.4669,1257.5079,1349.2070,1204.3611,1256.3999,1309.3002,1341.5162,1196.7745,1255.5122,1214.5804,1411.6929,1204.3611,1224.7125,1320.6118,1625.3120,1201.4070,1230.9675,1202.2944,1242.7877,1201.3984,1316.4518,1198.6331,1533.3083,
120.05, 23.15,1292.2692,1219.3206,1254.6692,1285.4020,1378.4612,1227.0814,1281.7126,1336.9443,1368.0674,1219.3146,1281.2222,1240.6418,1439.2476,1227.0814,1250.7021,1348.8123,1653.6090,1223.9324,1256.7080,1224.7986,1269.5634,1223.8883,1344.4985,1220.9133,1563.1729,
120.05, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
